model,ctx,layer,head,L,tau,tau_nosink,ladder_bits,ladder_bits_a_only,w_cv,top1,n95,eff_frac,entropy,c1_abs,c1_rel,alpha1,resid1_abs,evict_beats_b1,spearman_top_b1,c2_abs,c2_rel,alpha2,resid2_abs,evict_beats_b2,spearman_top_b2,c3_abs,c3_rel,alpha3,resid3_abs,evict_beats_b3,spearman_top_b3,c4_abs,c4_rel,alpha4,resid4_abs,evict_beats_b4,spearman_top_b4,c5_abs,c5_rel,alpha5,resid5_abs,evict_beats_b5,spearman_top_b5,c6_abs,c6_rel,alpha6,resid6_abs,evict_beats_b6,spearman_top_b6,c8_abs,c8_rel,alpha8,resid8_abs,evict_beats_b8,spearman_top_b8,err_wf1,err_uniform1,err_evict1,gain_u1,gain_e1,gain_best1,in_band1,evict_frac1,mean_bits1,lin_ratio1,err_wf2,err_uniform2,err_evict2,gain_u2,gain_e2,gain_best2,in_band2,evict_frac2,mean_bits2,lin_ratio2,err_wf3,err_uniform3,err_evict3,gain_u3,gain_e3,gain_best3,in_band3,evict_frac3,mean_bits3,lin_ratio3,err_wf4,err_uniform4,err_evict4,gain_u4,gain_e4,gain_best4,in_band4,evict_frac4,mean_bits4,lin_ratio4,prompt,step,synthetic,quantized,norm_correct,corpus_offset,corpus_spliced,needle_tok
llama31-8b,131072,0,0,120604.0,3.613013898527031,3.612057360486245,5.139082236766269,5.212477234067849,0.2878781116455631,0.18595146598413326,6617.0,0.054866825651955775,5.119237290123445,4.835855591738831,0.34064600183470584,0.779628463030374,4.198059271022089,1.0,0.2947016192241012,1.4120817617193802,0.09927610837526601,0.9316898569820006,1.364981641038041,1.0,0.5118220070280814,0.4034859854081589,0.028490123476271036,0.979565779164693,0.39756754046214915,0.0,0.7359480704471468,0.11017014169008665,0.0077493095915181845,0.9946682796125826,0.10974301998415949,0.0,0.8861093365023676,0.02873602467347848,0.0020292507865743254,0.9986932766912316,0.0287021316297201,0.0,0.9599491055519377,0.0073932397926876475,0.0005198930042072778,0.9996515843043807,0.0073917133473840975,0.0,0.9879954991669244,0.0004746641258574052,3.339283140995627e-05,0.9999628774985254,0.00047463611816708654,0.0,0.9990591387001815,0.014899785530670798,0.8766914822092788,0.018381731191922553,61.79218827129814,1.2010614685889984,1.2010614685889984,0.0,0.8333215935871757,1.0000082909802428,1.6473767618503263,0.012975097884475397,0.8316797802523017,0.013628886149385004,73.4100976808061,1.0023497591585193,1.0023497591585193,0.0,0.6914635619186835,2.0000082907396584,0.744710237510515,0.012781311686906749,0.3922450155279349,0.012836207741286913,32.0821266162052,0.9975827147238538,0.9975827147238538,0.0,0.5599136007426679,3.000004145352645,0.9168754148796097,0.01275382030303662,0.2254280470895098,0.012765548058820346,18.92373180887939,0.999079216612731,0.999079216612731,0.0,0.4335577648609879,4.000004145490122,0.8060366617129114,2.5,3.5,0.0,0.0,1.0,292963.5,0.0,-1.0
llama31-8b,131072,0,1,120604.0,3.5750004940927544,3.574066891154442,5.067724207983717,5.15763548400321,0.28389073458120306,0.21456403224009862,6700.0,0.055552790432672056,5.390729477030677,3.9047984424160167,0.3242632507350062,0.7888832795973766,3.3450527467048365,1.0,0.3250206834347652,1.1521630149263202,0.09519240152598468,0.9337388607130173,1.0994511452761766,1.0,0.543106898274615,0.3280971782530215,0.02707301909800669,0.9800076857912439,0.3237971326516817,0.0,0.7526380243637822,0.08899079154880003,0.007364430832634554,0.994553393765847,0.08862570603615565,0.0,0.8963983752155855,0.023278663010320284,0.0019219092845746248,0.998613905086826,0.0232525505532257,0.0,0.9651307485714435,0.005963460527458254,0.0004929444019857735,0.9996872503698877,0.005962582358142988,0.0,0.989162637676879,0.0003821884316060296,3.161217966843235e-05,0.9999643232572824,0.000382182429389016,0.0,0.9992086752943523,0.014221777739630508,0.9104055268126403,0.023588680026601104,62.88195636889096,1.5469756048003838,1.5469756048003838,0.0,0.8262930069408165,1.0,1.596725632343762,0.009571616423107054,0.5440171117804531,0.011956841243037138,51.88173519410137,1.1567541339799088,1.1567541339799088,0.0,0.6788047876617317,2.000004145352645,1.06060459560719,0.008291809231397534,0.27995668169737853,0.009031272975318791,29.212014921445398,1.0216207205532908,1.0216207205532908,0.0,0.5463273958566419,3.0000082912895927,1.0083256990086624,0.008178342739876058,0.12149292607729947,0.008234997276232907,13.032012176076877,1.004166412808714,1.004166412808714,0.0,0.42054056368249493,4.0,1.1825427516597529,2.5,3.5,0.0,0.0,1.0,292963.5,0.0,-1.0
llama31-8b,131072,0,2,120604.0,4.006538959562736,4.005433772060769,5.711597683201429,5.780213888089587,0.24873744449845897,0.417758078819393,3013.5,0.02498662908941841,3.493834184112791,4.985216579476551,0.3262254451280615,0.7704906754280834,4.198542668125526,1.0,0.27554539437763925,1.4846955895917844,0.09788658989819751,0.9279636463150509,1.4079112971689405,1.0,0.4927807171775017,0.4316252412632261,0.028262490281713154,0.9783977152397647,0.42444720217746235,0.0,0.713544144024606,0.11792724698595719,0.007676796898634486,0.9940037202684019,0.11739844576088129,0.0,0.8773248529500834,0.030709063422266362,0.00199340904853742,0.9985527445854165,0.030677989560954425,0.0,0.9577721386221125,0.007879047126511211,0.000511607187931022,0.9996347848018952,0.007876438984315977,0.0,0.9868856530720662,0.0005010963689508966,3.2615796718849875e-05,0.999967673551941,0.0005010646437770252,0.0,0.9990220915247832,0.013195444392916946,0.9126159191978958,0.015141000507457448,72.48622454652005,1.2235978766022875,1.2235978766022875,0.0,0.8367841062677757,1.0,1.3987537601165692,0.011559416252773505,0.5447733107456952,0.011760232107451852,41.42499110203197,1.0217446237350942,1.0217446237350942,0.0,0.6961011931907697,2.0000082907052903,1.3325442602293536,0.01136335571220638,0.451344790715293,0.011433344423356227,29.185728238347494,1.0020559947882666,1.0020559947882666,0.0,0.5637183771278846,3.0,1.0077285686782966,0.011327289394087978,0.19590002233826911,0.011343495835449382,17.908145301550647,1.000425976226328,1.000425976226328,0.0,0.4350793111168233,4.0,0.8573002345762013,2.5,3.5,0.0,0.0,1.0,292963.5,0.0,-1.0
llama31-8b,131072,0,3,120604.0,2.254487031211726,2.253784938116365,2.9603928760315457,3.252537259677638,0.3252812543405891,0.024078586736351867,25238.0,0.20927027193817233,8.741800811751427,1.8212828163178858,0.3393561690446073,0.8063321104979927,1.6716281615712343,1.0,0.43786228934670174,0.5448871289013075,0.10091652211977994,0.9426069961733974,0.5307252828132272,0.0,0.649538875664341,0.1555211971669322,0.028884441590477844,0.9827628279682741,0.1540571460500887,0.0,0.8298927519460251,0.04240950795773345,0.007807829235215847,0.99538139502043,0.04230257583610285,0.0,0.9357253886551595,0.010986954542872782,0.0020337105692440904,0.9989022273946064,0.01098165424164931,0.0,0.9784317060631518,0.002816205933749624,0.0005236706504630334,0.9997152612839516,0.002815922513931135,0.0,0.9936788912168455,0.00018128944960652,3.343250582141058e-05,0.9999726840912453,0.00018128352257964283,0.0,0.9995450867236797,0.035630527769834164,0.3514547491683766,0.08645974843066881,9.711276342236197,2.3739994678086678,2.3739994678086678,1.0,0.7840810167720969,1.0,6.493755179883711,0.014160316887998597,0.11719542534890323,0.03615339633389973,8.27546844525352,2.5624662725129985,2.5624662725129985,1.0,0.6114726779807158,2.0,5.977394752557041,0.005616682586587863,0.04787243969076533,0.01909471960808554,7.920410039593413,3.1371058358833643,3.112730743183497,1.0,0.4535715766344679,3.0,3.649851139885107,0.002204586110247061,0.01746605221332731,0.010136104111854928,8.666178562641907,4.429504111722935,4.061126916514523,1.0,0.3070212419714581,4.0,1.7656129610132423,2.5,3.5,0.0,0.0,1.0,292963.5,0.0,-1.0
llama31-8b,131072,0,4,120604.0,2.468648413260894,2.46788903534261,3.455298998741803,3.5615068235099,0.695309401013104,0.046555590947158214,30172.5,0.25015337978356245,8.369368693983926,1.377259533514807,0.19703057897018622,0.775014595033755,0.9985962341339271,1.0,0.49256620771194004,0.3656661276708311,0.05383623415237384,0.9271684891536245,0.3280898167863764,0.0,0.6842063493325878,0.09796317389547368,0.01459878605573834,0.9785163054232513,0.09497946194644616,0.0,0.8528637441288687,0.026245887150417535,0.003891806256107364,0.994484706448892,0.02605122504403643,0.0,0.9450368468927608,0.006865562505741792,0.0010285243607588658,0.998596046406683,0.006852541574988309,0.0,0.9825704880156639,0.0017655181749196792,0.000263517286410681,0.9996430164538301,0.0017647686768546686,0.0,0.9950392745767618,0.00011378945164804153,1.6908109921455477e-05,0.9999850569593911,0.00011378859065793329,0.0,0.999602978697123,0.06747233982499537,1.04078705084645,0.1516985751644847,16.19758758854131,2.076143697296926,2.076143697296926,1.0,0.7660729805355869,1.0,4.807620748269935,0.01594901906564715,0.3708402658383149,0.0606782727635086,25.506097078644906,4.107577312543318,4.093171763713219,1.0,0.5997958446040369,2.0,2.1093932154400425,0.006588386114685858,0.16393431384929436,0.021193257692780416,21.844693316447593,3.2650016240257926,3.2650016240257926,1.0,0.4668552630714473,3.0,1.3367544276274335,0.004021976309238115,0.06449074324505341,0.008892746747514689,16.348607287752543,1.9012894437823562,1.9012894437823562,0.0,0.34007470397683826,4.0,0.9264478803982087,2.5,3.5,0.0,0.0,1.0,292963.5,0.0,-1.0
llama31-8b,131072,0,5,120604.0,2.1370625557617657,2.1364105809584517,3.1266360931169563,3.083129551266993,0.6738367324101122,0.022306445337590346,43007.0,0.3565923663593449,9.570972949467606,1.065009814129334,0.24465960749054216,0.7901489031481237,0.8828366705995527,1.0,0.39645293524676034,0.3087930437618739,0.06890278404174215,0.9333541566062221,0.2851079899183466,0.0,0.6123438348877402,0.0848632023880671,0.01910225612029254,0.9802308422297155,0.08245065816359473,0.0,0.801236670402196,0.02268909948680407,0.0051086282265322466,0.9949070425358004,0.02253300425149364,0.0,0.9203041299978567,0.005958948300056796,0.001347288395853552,0.9987240804172758,0.005948258664458424,0.0,0.9741669360007075,0.0015333056015670592,0.00034684149405240697,0.9996643524520381,0.0015327191495802593,0.0,0.9923519257542127,9.880593434350132e-05,2.2171109534242463e-05,0.9999847113773916,9.880530007165005e-05,0.0,0.9994116913327733,0.1468817922295123,0.47298589712074723,0.2916964610220306,3.375133695954808,1.8471409541006498,1.8380452978612332,0.0,0.7421835450327631,1.0,8.469334381396235,0.0367636836732452,0.14588296239820983,0.14826080579745274,3.7616883199886013,3.679269971636139,3.421134982311528,1.0,0.5580080738640663,2.0,9.530199109409761,0.012583961874828353,0.059526509714970005,0.06253718671267888,4.624981109386292,4.763220721117289,4.447683672643949,1.0,0.4187781457879509,3.0,5.7078246423764885,0.006271575574640036,0.01786128489715482,0.02408919914339374,2.963818319714232,3.9079102095465683,2.963818319714232,1.0,0.29006747123631665,4.000008291255222,5.011423424730513,2.5,3.5,0.0,0.0,1.0,292963.5,0.0,-1.0
llama31-8b,131072,0,6,120604.0,2.519898227156543,2.5192018725612155,3.4368967271907938,3.635444675863636,0.6906189639816745,0.03971298380002626,30449.5,0.252483415899475,8.736182185220247,1.5173998603193333,0.22673690562753285,0.7713914139591644,1.1868176372593844,1.0,0.4008109866464875,0.41413458401779996,0.061749812160339715,0.9276785999798263,0.3764212692084603,0.0,0.6189792103158543,0.1132939544168573,0.016713364037097334,0.9794510392789346,0.10992095723545696,0.0,0.8131405187157498,0.030175273866036113,0.0044331862614122525,0.9947630956598162,0.02996882394069117,0.0,0.9257192415666666,0.007918744583383088,0.0011567242820613123,0.998646574697267,0.00790475313888557,0.0,0.9757082189913627,0.002032484945381436,0.00029718969880025204,0.9996641735671361,0.0020315299726195333,0.0,0.9926646280477117,0.00013040608208796794,1.9120666620315013e-05,0.9999809765344427,0.000130403592365516,0.0,0.9994370379380426,0.06237698196973225,0.907596525694417,0.13032513843362686,11.906017272295866,2.165211443690244,2.150897827744938,1.0,0.7754504048025048,1.0000041455244917,4.879977917792355,0.019144814334144646,0.3219541397480607,0.04846507231884871,14.767926991707572,3.331376990140277,3.194125107246668,1.0,0.6059839627359906,2.0,3.4712604033213768,0.008337462921137538,0.10942263221068235,0.023537795904958456,12.732947736581124,2.927604971105861,2.4720644557263114,1.0,0.4680839513562933,3.0,2.263233612219,0.0047075794395346655,0.06174988073117155,0.012328252521927784,13.443765370103318,1.6121082630068317,1.4866837611883277,0.0,0.33810552444522557,4.000008290877135,1.1273315493511316,2.5,3.5,0.0,0.0,1.0,292963.5,0.0,-1.0
llama31-8b,131072,0,7,120604.0,2.7833993343827705,2.7825923784062248,3.943513189149512,4.015596416527664,0.6867906151780601,0.07446692663156823,20954.5,0.1737657614918878,7.2861362251531165,1.885848336711211,0.24088187729617935,0.7477445764841276,1.4324777548619276,1.0,0.43282741041858463,0.5217315975608227,0.06688592670655998,0.9172730418292525,0.4692747966094014,0.0,0.6521740365114113,0.14249214351610107,0.01832999945947469,0.9762994186428746,0.1376885204498855,0.0,0.8295207924189957,0.037912381578377674,0.00482912152845108,0.9938708417466394,0.03756419576979143,0.0,0.9329554557302803,0.009845680691577393,0.001255782867190639,0.9984622163896334,0.00982532843045277,0.0,0.9785415981145471,0.0025357425572220846,0.000324932130618378,0.9996271979544424,0.0025344850872331282,0.0,0.993451999029833,0.00016262180914178791,2.0622028109083583e-05,0.9999817699740838,0.00016262081178260756,0.0,0.9995212373238365,0.029065284109647503,0.7699272116242089,0.06408788784638846,34.15979076453195,2.053759162304929,2.053759162304929,1.0,0.7934890944754861,1.0000082908427665,2.729658594466332,0.009390026577452939,0.3777186174347149,0.02181015931040632,40.841131470835464,2.2449252318432875,2.2449252318432875,1.0,0.6323028187118014,2.0,1.3636267279638672,0.005725090912248626,0.15377082210975002,0.009797333624596779,35.68299124668458,1.3055353144824722,1.3055353144824722,0.0,0.49271480341993745,3.0,0.8264480532310329,0.004789157596236156,0.07017558168699922,0.006225181630965778,13.423670162798437,1.0941100378384419,1.0941100378384419,0.0,0.36232575773759146,4.000008290739658,1.1405348871648404,2.5,3.5,0.0,0.0,1.0,292963.5,0.0,-1.0
llama31-8b,131072,0,8,120604.0,2.5223045675566773,2.5216984337853146,3.653444040796683,3.6389162912255992,0.4695198120204423,0.007870545411714728,35788.0,0.2967323628692504,9.57212621574379,1.151922711193489,0.18032139654980664,0.7809222907455203,0.8428579094330781,1.0,0.456973771097484,0.2993997189504918,0.047085011224250184,0.9300851893309916,0.2672696596686811,0.0,0.6710549032034376,0.08063107792677895,0.012756512112479294,0.9805596223163056,0.07824975223276168,0.0,0.8497487248161023,0.021580002739629324,0.0033966866497145746,0.9950087453676814,0.02141957292702827,0.0,0.9443733865505586,0.005626364554660165,0.0008920930654834668,0.9987275026488056,0.005616499705674471,0.0,0.9831477755764241,0.00144885931447675,0.00022895473566950997,0.999662072218199,0.0014481026927525202,0.0,0.9949943052034345,9.274348831381933e-05,1.4665140811163462e-05,0.999973680994479,9.274100025271331e-05,0.0,0.9996224093429715,0.04578318505297069,0.3034084123413721,0.1207850036150746,6.375264027696321,2.7494030901116,2.7494030901116,1.0,0.7480420059936157,1.0000082907052903,7.497466765695419,0.011647989731839607,0.12587976576096419,0.04642999363152128,10.515486831984862,4.294695302299481,4.294695302299481,1.0,0.5766207370435494,2.0000082908427665,4.47532821779423,0.004405753017909145,0.0483602660032406,0.01784449832047018,10.412843619190028,4.2573803141369995,4.2573803141369995,1.0,0.4421777565936965,3.0,2.7583650970087863,0.0019609267297754154,0.022400409162002956,0.00743605225939581,11.21720559794952,3.733972671099446,3.733972671099446,1.0,0.3199069604035214,4.0,1.353850387070906,2.5,3.5,0.0,0.0,1.0,292963.5,0.0,-1.0
llama31-8b,131072,0,9,120604.0,2.7517816563942543,2.750963481382869,4.1299146640547,3.969981749289208,0.41995834979885294,0.04157029507284031,20857.0,0.17294861103070241,8.031965139622674,1.7629064963908112,0.2299724704631626,0.7820336898184783,1.3984180549301382,1.0,0.4175599295392389,0.4744741011631205,0.06255505770113326,0.9321750404059598,0.43769287683756186,0.0,0.65483312004677,0.1300934474544212,0.017083218965995572,0.9810904563120926,0.12721650193653017,0.0,0.8356524999612183,0.034943908203154066,0.0045668644683809325,0.9952084678565227,0.034744745426087825,0.0,0.9389524581077602,0.009130633964446442,0.0012063942250433212,0.998756701142713,0.009118120819597453,0.0,0.9808201427211302,0.0023494017255950165,0.0003095408659383999,0.9996703962106305,0.002348798441578988,0.0,0.9942160713550579,0.00015012421281578638,1.9702331575831145e-05,0.9999689464374526,0.00015012190678042952,0.0,0.9995764609967109,0.025915966317508178,0.36777067558657095,0.055890874178200364,14.265963579672677,1.9994293198687063,1.9994293198687063,0.0,0.7892521881487246,1.0000082907052903,7.392627184130544,0.007612191723638421,0.144988018632453,0.01969152681395322,22.68987125614414,2.6022616585180764,2.6022616585180764,1.0,0.6222939531398111,2.000008291014613,2.4886456492368456,0.004462536542274579,0.0958543159864646,0.008073857638482878,18.18371426660314,1.8109937804533673,1.8109937804533673,0.0,0.48203404163592195,3.0,1.6117894992029456,0.0036952166729322575,0.07436887851127633,0.004863473307558543,18.714007496953784,1.2179275046991496,1.2179275046991496,0.0,0.35801172657080993,4.000008291014613,0.8166183977905995,2.5,3.5,0.0,0.0,1.0,292963.5,0.0,-1.0
llama31-8b,131072,0,10,120604.0,3.4819310051745926,3.481015677981521,4.9098128650702115,5.023364593882908,0.4772642799354704,0.09897451795574785,13072.5,0.10839912013637587,7.189321796109503,2.2602721930644987,0.18716790727318383,0.7970093211459021,1.7652015911841368,1.0,0.4244750469362075,0.6071814604396053,0.050019399674135503,0.9392197508796087,0.5630908815480562,0.0,0.6396801127268017,0.1663736963036906,0.013730207423454752,0.9835368850494042,0.16329542874226788,0.0,0.8365150119756373,0.04483419472244502,0.0037071426937666904,0.9958114403819811,0.044601426304805326,0.0,0.9387925047299572,0.011753833868975421,0.000973805356387081,0.9988573827743188,0.01173686266183966,0.0,0.980694377942648,0.0030232068971969995,0.00024986758005871945,0.9996705075618486,0.0030217268788910265,0.0,0.9943886606426489,0.00019374084039944272,1.6026420716648404e-05,0.9999764277927292,0.00019373051782837464,0.0,0.9995777388624014,0.018874817995966395,0.8118945774539728,0.04098633532305825,50.083915291462276,2.209664980251987,2.209664980251987,1.0,0.7998731353803037,1.0000082908771346,2.102863719821802,0.006433921486057229,0.42396468339676785,0.013336060802026664,63.12750249118698,2.2172355190423056,2.2172355190423056,1.0,0.6481698796980115,2.000008291014613,0.8801816181378179,0.004513518271449881,0.1994850743747367,0.00607277162898504,40.04036960757309,1.2665795348506532,1.2665795348506532,0.0,0.5162483154840831,3.0000082907396584,0.7311245252616487,0.00440191277136283,0.09151113353089281,0.0046141128914122635,21.854357228263737,1.0168793648698202,1.0168793648698202,0.0,0.3882875411247778,4.000008290877135,0.698451234881633,2.5,3.5,0.0,0.0,1.0,292963.5,0.0,-1.0
llama31-8b,131072,0,11,120604.0,2.9690022935044933,2.9685497859535057,4.46520570546683,4.2833648852268915,0.40505355142865573,0.013436696431196856,28160.5,0.2334800844470109,9.112726773064608,1.7397606127431624,0.19269332745903844,0.7890574563169934,1.3483858261097506,1.0,0.3955659586879978,0.4546434150210096,0.050345612715505375,0.9356619715430066,0.4203475889112551,0.0,0.6388540225352878,0.12398626612795702,0.013613550604109976,0.9821449450475928,0.12112989746917621,0.0,0.8358022460962471,0.03308437395242282,0.003640344234198234,0.9954539454099012,0.032903310532434824,0.0,0.9372704952621798,0.008726016469788326,0.0009561755968786351,0.9988237224257375,0.008708779060597978,0.0,0.9791791654724288,0.002239383529946754,0.0002459131975777579,0.9996734086357595,0.0022380956781062836,0.0,0.9939706049537589,0.0001432606912428051,1.572806248391619e-05,0.9999796573133017,0.0001432497203304838,0.0,0.9995485654672832,0.0376299805237177,0.40610812133475727,0.07775176113723237,10.15687757377558,2.0722165249319517,2.0722165249319517,1.0,0.7857098430177012,1.0,7.141460297774286,0.011077557960486931,0.15415014332399227,0.03174178305401181,13.835826231346365,2.8230689509876434,2.8230689509876434,1.0,0.625258072589092,2.0000082907052903,3.828911786062398,0.0038253817247600455,0.05076486262742759,0.012314708981714367,13.010129377995057,3.2001010030940575,3.2001010030940575,1.0,0.4879948589180666,3.0000082916677053,2.2499348294704764,0.001802493998357034,0.021409296495805953,0.004573328330859077,11.584636624087004,2.6644165642518356,2.6644165642518356,1.0,0.36506027791074946,4.000008291530202,1.317229912767668,2.5,3.5,0.0,0.0,1.0,292963.5,0.0,-1.0
llama31-8b,131072,0,12,120604.0,1.9009888602681881,1.900593415165357,2.4681145341642248,2.7425472014940784,0.5171945421786612,0.0020489552922505015,50880.5,0.42186476713927923,10.212136611478568,1.4957638548006456,0.23572792441282875,0.7678739008572206,1.1594483885086118,1.0,0.4649920186647507,0.40839217762452173,0.06438335609973561,0.9218438726323862,0.3685024953295106,0.0,0.6784675991983977,0.11121515390624043,0.01740516704275765,0.9767041500338771,0.10761309524709284,0.0,0.8514055901791684,0.029566267545985313,0.004610317806742602,0.9936519650131455,0.029307890511507066,0.0,0.9448652531927265,0.007724550884020553,0.0012098415082604608,0.9983883522516532,0.007708284712083086,0.0,0.9820276143886343,0.0019814681860938245,0.0003113405930385818,0.9996059563397193,0.0019802645623729484,0.0,0.9949453376238244,0.00012729043807543127,1.9874801194202426e-05,0.9999772057320937,0.0001272890364990335,0.0,0.9996306886842776,0.05267095328722085,0.48544525263250704,0.12133903762327242,9.466482586005496,2.256484733591077,2.256484733591077,1.0,0.7778901700125945,1.0,2.7404115510386164,0.015218630093951396,0.16298022709996027,0.04497612692374367,8.755606825420585,3.0036943055251597,3.0036943055251597,1.0,0.6046860620331143,2.0,2.9400967601007433,0.006214460449723162,0.05451509181548614,0.019568907823267756,11.537572095855774,3.9340170751085513,3.7969676285307505,1.0,0.45394130165267177,3.0000000000000004,2.0716481872725487,0.002434608731428809,0.023008781702962618,0.008856418761078157,10.15028402161675,3.759052394966202,3.467142751268075,1.0,0.3163581092502995,4.000008290877135,1.3209874458210507,2.5,3.5,0.0,0.0,1.0,292963.5,0.0,-1.0
llama31-8b,131072,0,13,120604.0,1.937216675474997,1.9369604545139498,2.4039401542734966,2.7948128908351833,0.5215864775677521,0.0007249789004803821,50814.0,0.42132931193391265,10.36656071759666,0.6976577730803482,0.183824690399217,0.7568446000942526,0.48405613275651355,0.0,0.4233641597880232,0.18205033347728894,0.04865628380161903,0.9216960167753472,0.1609664296849993,0.0,0.6411677462006027,0.04912180581848777,0.013079928473849617,0.9773976922946086,0.04740019486638379,0.0,0.8171975828475111,0.01304871180143013,0.0034823779405768456,0.9939260370411844,0.01292001377768293,0.0,0.930015404761217,0.0034322433561323937,0.0009093308501432982,0.9984492594105854,0.003424405509810673,0.0,0.9761938022914884,0.0008804152733501775,0.00023349890808170906,0.9996099716360087,0.0008798536303079496,0.0,0.9933490645963341,5.622520237994967e-05,1.49254634101282e-05,0.9999750016809302,5.622419826087134e-05,0.0,0.9995046579695417,0.10032463348505347,0.43094911237371947,0.34786963264151827,4.150337769411145,3.4909198662087713,3.418721300149537,1.0,0.6913966967502209,1.0000082907052903,1.83859470698782,0.026554561298464032,0.13330287501094118,0.14429204336105278,4.9423514619870605,5.26785031021309,4.861203775093172,1.0,0.4904979623469833,2.000004145352645,1.9583641791674502,0.009954329007953098,0.03751376422988391,0.0678857708697721,4.054593911384358,6.624176538319448,4.054593911384358,1.0,0.3247461000953009,3.000008291014613,2.5350578214466823,0.0035055920767814927,0.010624757697276381,0.032951249260621915,3.190831054711083,9.050323120987702,3.190831054711083,1.0,0.18734692508043885,4.000008290739658,2.955389577311742,2.5,3.5,0.0,0.0,1.0,292963.5,0.0,-1.0
llama31-8b,131072,0,14,120604.0,2.0447195249105565,2.0439105199671594,3.0167219241846794,2.9499067185972967,0.47538484222594246,0.009761861920430496,27200.5,0.2255318536985311,8.834319262879927,1.0639968947455505,0.21145511909663817,0.8167530720751837,0.910862354795443,1.0,0.5254450776024959,0.29970186044019087,0.059589030042626695,0.9382905206953187,0.2855104670104491,0.0,0.7611722505227492,0.08356634769772628,0.016631571550069647,0.9813281379996566,0.08242784619416449,0.0,0.9029118434750791,0.022517698420000915,0.00449429730219854,0.9946663969476472,0.02241868407395295,0.0,0.9669197970516905,0.0059234792311275266,0.0011796640243449709,0.9986195112112084,0.0059157400737649465,0.0,0.9898082870120686,0.0015213138151257835,0.0003025603452648304,0.9996727788952728,0.0015209839467984505,0.0,0.9972594709185889,9.795449550043143e-05,1.941741990576959e-05,0.999984615681708,9.795377261525877e-05,0.0,0.9997870743160305,0.026281926496340292,0.24648894477360864,0.05216265865457069,10.60106725498226,2.0776585216156556,2.0776585216156556,1.0,0.775284058863682,1.0000041453526451,8.982057820479694,0.00906772495801229,0.12060449211013641,0.02388837355168185,10.297829432347108,2.81525838515297,2.81525838515297,1.0,0.5841548647145542,2.0,3.8378973740253097,0.003460809225136005,0.04520281131275586,0.01278591281485706,10.034688593732312,4.482652414605056,4.134751802261474,1.0,0.40868579656349713,3.0000082907396584,2.0825457672919714,0.0015581703219347729,0.01550365480482964,0.0066491112195596405,9.365174222596687,6.3368108057012495,4.166208604920444,1.0,0.25305738225288216,4.0,1.6246176575240936,2.5,3.5,0.0,0.0,1.0,292963.5,0.0,-1.0
llama31-8b,131072,0,15,120604.0,1.9243855273888384,1.9239337257008573,2.6394495795000794,2.77630145712237,0.501594841347609,0.0035712129412934527,48081.5,0.3986815103121315,9.981233169349462,0.8428508235582108,0.21427289370324737,0.775553254425206,0.6316014096384255,0.0,0.5127499154504173,0.23043135857540217,0.058901751303369936,0.9243427249831897,0.2073632790855145,0.0,0.7141393771316216,0.06246151914169172,0.015979032471715622,0.9768486946929489,0.06025744545566879,0.0,0.8655729694971224,0.016596151988689474,0.0042433383469234025,0.9934403021742468,0.016442468720545576,0.0,0.9500035326843079,0.004343045978858122,0.001105831052118381,0.9983919078322576,0.004334176654224094,0.0,0.9842909952193399,0.0011127853099306096,0.0002832819963950822,0.9995839813801355,0.0011122252039431281,0.0,0.9955238709148431,7.134598287256355e-05,1.8092242445808393e-05,0.9999771750045029,7.134549657864192e-05,0.0,0.9996655657108613,0.0979118371851514,0.3417314155412543,0.2610069654069828,3.431382474769678,2.682166123205576,2.682166123205576,1.0,0.7196736670176516,1.0,5.871067789379179,0.03745433082234167,0.12718538105376875,0.12363324127159234,3.3956636938711906,3.296768089457322,3.1961837144568737,1.0,0.5200848996376842,2.0000082912895927,7.915936495692412,0.011681452985628608,0.043115488799569265,0.0699938220615818,3.7459704941683425,5.881211934037528,3.7459704941683425,1.0,0.35769037635141077,3.000004145352645,6.128137443225587,0.0027077685547758036,0.013998042677833493,0.03795992476373312,4.822230166588294,13.73447796288161,4.822230166588294,1.0,0.22426974872326794,4.000008290739658,2.6380221563394644,2.5,3.5,0.0,0.0,1.0,292963.5,0.0,-1.0
